project_id,price_scenario,zone_a,zone_b,country_a,country_b,mapping_method,source,notes
1085,proxy_2023,MT00,ITSI,MT,IT,TYNDP border code,TYNDP 2024 Trans.Projects Border field,ITSI = Italy Sicily
1088,proxy_2023,EE00,LV00,EE,LV,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Via offshore bidding zone (OBZ)
1092,proxy_2023,BE00,DKW1,BE,DK,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Via offshore zone DKOBZ
1094,proxy_2023,EE00,FI00,EE,FI,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1095,proxy_2023,FI00,SE01,FI,SE,TYNDP border code,TYNDP 2024 Trans.Projects Border field,SE01 = Sweden north
1097,proxy_2023,DKW1,SE03,DK,SE,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1100,proxy_2023,CZ00,DE00,CZ,DE,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1104,proxy_2023,DE00,LUG1,DE,LU,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1105,proxy_2023,GE00,RO00,GE,RO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,GE non-EU
1106,proxy_2023,DE00,DKE1,DE,DK,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Via Bornholm Energy Island
1112,proxy_2023,ITS1,GR00,IT,GR,TYNDP border code,TYNDP 2024 Trans.Projects Border field,ITS1 = Italy south
1138,proxy_2023,MD00,RO00,MD,RO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,MD non-EU
1171,proxy_2023,CH00,ITN1,CH,IT,TYNDP border code,TYNDP 2024 Trans.Projects Border field,CH non-EU
1183,proxy_2023,AL00,GR00,AL,GR,TYNDP border code,TYNDP 2024 Trans.Projects Border field,AL non-EU
1192,proxy_2023,DE00,UK00,DE,GB,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Blank transfer capacity
1193,proxy_2023,DE00,UK00,DE,GB,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Blank transfer capacity
1197,proxy_2023,NL00,UK00,NL,GB,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1200,proxy_2023,DE00,NO00,DE,NO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,4-country; primary border DE-NO per border field
1201,proxy_2023,DKW1,NOS0,DK,NO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1202,proxy_2023,FI00,NON1,FI,NO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,NON1 = Norway north
1207,proxy_2023,DE00,LUG1,DE,LU,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1208,proxy_2023,ITCN,TN00,IT,TN,TYNDP border code,TYNDP 2024 Trans.Projects Border field,3-country DZ-IT-TN; primary IT-TN; isolated mode
1209,proxy_2023,LT00,LV00,LT,LV,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1210,proxy_2023,ES00,ITN1,ES,IT,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1211,proxy_2023,EEOF,DE00,EE,DE,TYNDP border code,TYNDP 2024 Trans.Projects Border field,3-country DE-EE-LV; primary EE-DE per border field
1213,proxy_2023,DE00,NL00,DE,NL,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1214,proxy_2023,DE00,DKW1,DE,DK,TYNDP border code,TYNDP 2024 Trans.Projects Border field,Blank transfer capacity
1215,proxy_2023,DE00,MA00,DE,MA,TYNDP border code,TYNDP 2024 Trans.Projects Border field,MA non-EU; isolated mode
1216,proxy_2023,HU00,RO00,HU,RO,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1218,proxy_2023,BE00,NL60,BE,NL,TYNDP border code,TYNDP 2024 Trans.Projects Border field,NL60 = Netherlands offshore
1226,proxy_2023,BG00,GR00,BG,GR,TYNDP border code,TYNDP 2024 Trans.Projects Border field,8-country corridor; 5 borders listed; primary border BG-GR (first listed)
1230,proxy_2023,TN00,MT00,TN,MT,TYNDP border code,TYNDP 2024 Trans.Projects Border field,TN non-EU; isolated mode
1231,proxy_2023,DE00,GR00,DE,GR,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1235,proxy_2023,HU00,SK00,HU,SK,TYNDP border code,TYNDP 2024 Trans.Projects Border field,
1239,proxy_2023,,,SK,UA,TYNDP border code,TYNDP 2024 Trans.Projects Border field,No border code in workbook; blank transfer capacity; UA non-EU
1240,proxy_2023,,,RO,UA,TYNDP border code,TYNDP 2024 Trans.Projects Border field,No border code in workbook; blank transfer capacity; UA non-EU
